Name,Opp.,Berry,Karabell,Yates,Cockcroft,Clay,Bell,Avg,Position
"42. Tyler Lockett, Sea",Dal,41,47,40,41,41,47,42.8,WR
"43. John Brown, Bal",Den,36,44,38,42,NR,NR,43.7,WR
"44. Robby Anderson, NYJ",@Cle,47,38,NR,44,46,41,44.5,WR
"45. Chris Godwin, TB",Pit,NR,46,41,43,50,43,45.7,WR
"46. Jamison Crowder, Wsh",GB,44,43,45,45,49,49,45.8,WR
"47. Kelvin Benjamin, Buf  Q",@Min,NR,45,49,NR,NR,35,47,WR
"48. Tyler Boyd, Cin",@Car,43,NR,NR,NR,42,NR,48.2,WR
"49. Ted Ginn Jr., NO  Q",@Atl,45,49,46,NR,NR,NR,48.8,WR
"49. Geronimo Allison, GB",@Wsh,46,NR,50,NR,45,50,48.8,WR
"51. Cole Beasley, Dal",@Sea,NR,NR,NR,NR,39,NR,49,WR
"52. Sterling Shepard, NYG",@Hou,NR,48,NR,50,NR,45,49.3,WR
"53. Brandon Marshall, Sea",Dal,49,NR,47,NR,48,NR,49.5,WR
"54. Mohamed Sanu, Atl",NO,NR,50,NR,NR,47,48,49.7,WR
"55. Jordy Nelson, Oak",@Mia,NR,NR,NR,NR,NR,46,50.2,WR
"55. Phillip Dorsett, NE",@Det,NR,NR,NR,46,NR,NR,50.2,WR
"57. Danny Amendola, Mia",Oak,NR,NR,NR,47,NR,NR,50.3,WR
"58. Paul Richardson, Wsh  Q",GB,NR,NR,NR,48,NR,NR,50.5,WR
"58. Antonio Callaway, Cle",NYJ,48,NR,NR,NR,NR,NR,50.5,WR
"58. Ryan Grant, Ind",@Phi,NR,NR,48,NR,NR,NR,50.5,WR
"61. Mike Williams, LAC",@LAR,NR,NR,NR,49,NR,NR,50.7,WR
"62. Dede Westbrook, Jax",Ten,50,NR,NR,NR,NR,NR,50.8,WR
"1. Rob Gronkowski, NE",@Det,1,1,1,1,1,1,1,TE
"2. Travis Kelce, KC",SF,2,2,2,2,2,2,2,TE
"3. Zach Ertz, Phi",Ind,3,3,3,3,3,3,3,TE
"4. Jordan Reed, Wsh",GB,6,4,5,4,4,4,4.5,TE
"5. Jimmy Graham, GB",@Wsh,4,5,4,6,6,8,5.5,TE
"6. Evan Engram, NYG  Q",@Hou,7,6,7,5,7,5,6.2,TE
"7. Kyle Rudolph, Min",Buf,5,8,6,8,8,6,6.8,TE
"8. Trey Burton, Chi",@Ari,10,7,9,7,10,7,8.3,TE
"9. George Kittle, SF",@KC,8,9,8,9,9,9,8.7,TE
"10. Jack Doyle, Ind  Q",@Phi,9,10,14,10,5,17,10.8,TE
"11. Jared Cook, Oak",@Mia,13,11,10,11,15,10,11.7,TE
"12. David Njoku, Cle",NYJ,12,13,11,12,13,11,12,TE
"13. O.J. Howard, TB",Pit,11,12,12,13,11,15,12.3,TE
"14. Austin Seferian-Jenkins, Jax  Q",Ten,19,15,16,15,12,14,15.2,TE
"15. Eric Ebron, Ind",@Phi,16,17,13,14,19,18,16.2,TE
"16. Tyler Eifert, Cin",@Car,17,14,17,16,20,16,16.7,TE
"17. Austin Hooper, Atl",NO,22,18,19,19,16,12,17.7,TE
"18. Benjamin Watson, NO",@Atl,21,16,18,17,17,19,18,TE
"19. Will Dissly, Sea",Dal,15,19,15,24,18,21,18.7,TE
"20. Jesse James, Pit",@TB,14,22,20,21,NR,13,19.3,TE
"21. Ricky Seals-Jones, Ari",Chi,20,21,22,18,14,22,19.5,TE
"22. Charles Clay, Buf",@Min,NR,23,23,20,23,20,22.5,TE
"22. Antonio Gates, LAC  Q",@LAR,18,20,21,25,NR,25,22.5,TE
"24. Jake Butt, Den",@Bal,23,NR,24,22,NR,NR,24.5,TE
"25. Vance McDonald, Pit",@TB,NR,24,25,23,24,NR,24.7,TE
"26. Ian Thomas, Car",Cin,25,25,NR,NR,21,NR,24.8,TE
"27. Mike Gesicki, Mia",Oak,24,NR,NR,NR,NR,23,25.2,TE
"28. Ryan Griffin, Hou  Q",NYG,NR,NR,NR,NR,22,NR,25.3,TE
"29. Cameron Brate, TB",Pit,NR,NR,NR,NR,25,24,25.5,TE
1. Minnesota Vikings,Buf,1,1,1,1,1,3,1.3,DST
2. Jacksonville Jaguars,Ten,2,2,2,2,2,1,1.8,DST
3. Chicago Bears,@Ari,3,5,3,3,3,2,3.2,DST
4. Houston Texans,NYG,4,6,4,4,7,6,5.2,DST
5. Philadelphia Eagles,Ind,5,3,7,6,8,4,5.5,DST
6. Baltimore Ravens,Den,7,4,5,5,13,7,6.8,DST
7. Los Angeles Rams,LAC,8,7,6,8,12,5,7.7,DST
7. Cleveland Browns,NYJ,6,9,10,7,4,10,7.7,DST
9. Denver Broncos,@Bal,11,10,8,9,14,8,10,DST
10. New York Jets,@Cle,9,13,11,12,6,16,11.2,DST
11. New England Patriots,@Det,19,8,14,11,21,9,13.7,DST
12. Carolina Panthers,Cin,17,12,12,10,22,14,14.5,DST
13. Dallas Cowboys,@Sea,10,20,16,15,5,24,15,DST
13. Miami Dolphins,Oak,14,17,15,16,11,17,15,DST
15. Tennessee Titans,@Jax,20,14,9,14,23,12,15.3,DST
16. Cincinnati Bengals,@Car,12,24,18,20,9,15,16.3,DST
17. New Orleans Saints,@Atl,22,11,13,23,28,13,18.3,DST
18. Seattle Seahawks,Dal,15,23,22,13,16,23,18.7,DST
19. Green Bay Packers,@Wsh,18,21,19,17,19,20,19,DST
20. Arizona Cardinals,Chi,13,26,20,19,15,25,19.7,DST
20. Washington Redskins,GB,16,18,29,27,10,18,19.7,DST
22. Los Angeles Chargers,@LAR,21,22,23,18,29,11,20.7,DST
22. Pittsburgh Steelers,@TB,27,15,17,21,25,19,20.7,DST
24. Atlanta Falcons,NO,25,19,21,25,26,22,23,DST
25. Kansas City Chiefs,SF,26,25,27,26,17,26,24.5,DST
26. Oakland Raiders,@Mia,23,28,24,24,20,29,24.7,DST
